DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
449,19530211,  145,     ,
449,19530212,   24,     ,
449,19530213,   10,     ,
449,19530214,    1,     ,
449,19530215,    1,     ,
449,19530216,    1,     ,
449,19530217,    1,     ,
449,19530218,   11,     ,
449,19530219,    0,     ,
449,19530220,    0,     ,
449,19530221,    0,     ,
449,19530222,    6,     ,
449,19530223,    0,     ,
449,19530224,    0,     ,
449,19530225,    0,     ,
449,19530226,    1,     ,
449,19530227,    0,     ,
449,19530228,    1,     ,
449,19530301,    0,     ,
449,19530302,    0,     ,
449,19530303,    0,     ,
449,19530304,    8,     ,
449,19530305,    2,     ,
449,19530306,    1,     ,
449,19530307,    0,     ,
449,19530308,    0,     ,
449,19530309,    0,     ,
449,19530310,    0,     ,
449,19530311,   11,     ,
449,19530312,    2,     ,
449,19530313,    0,     ,
449,19530314,    0,     ,
449,19530315,    0,     ,
449,19530316,    0,     ,
449,19530317,    0,     ,
449,19530318,    0,     ,
449,19530319,    0,     ,
449,19530320,    1,     ,
449,19530321,    1,     ,
449,19530322,    0,     ,
449,19530323,    1,     ,
449,19530324,    2,     ,
449,19530325,    1,     ,
449,19530326,    0,     ,
449,19530327,    1,     ,
449,19530328,    0,     ,
449,19530329,   46,     ,
449,19530330,    0,     ,
449,19530331,   29,     ,
449,19530401,    0,     ,
449,19530402,   10,     ,
449,19530403,   98,     ,
449,19530404,  188,     ,
449,19530405,    4,     ,
449,19530406,   27,     ,
449,19530407,   16,     ,
449,19530408,    2,     ,
449,19530409,    0,     ,
449,19530410,    0,     ,
449,19530411,    0,     ,
449,19530412,    0,     ,
449,19530413,   37,     ,
449,19530414,    0,     ,
449,19530415,   22,     ,
449,19530416,    8,     ,
449,19530417,    0,     ,
449,19530418,    0,     ,
449,19530419,    0,     ,
449,19530420,    0,     ,
449,19530421,    0,     ,
449,19530422,    0,     ,
449,19530423,    0,     ,
449,19530424,    0,     ,
449,19530425,    0,     ,
449,19530426,    0,     ,
449,19530427,   17,     ,
449,19530428,   35,     ,
449,19530429,   29,     ,
449,19530430,   16,     ,
449,19530501,    0,     ,
449,19530502,   25,     ,
449,19530503,    0,     ,
449,19530504,    0,     ,
449,19530505,    0,     ,
449,19530506,    3,     ,
449,19530507,   14,     ,
449,19530508,    0,     ,
449,19530509,    0,     ,
449,19530510,    1,     ,
449,19530511,    0,     ,
449,19530512,    0,     ,
449,19530513,    0,     ,
449,19530514,    0,     ,
449,19530515,   25,     ,
449,19530516,   32,     ,
449,19530517,    0,     ,
449,19530518,    0,     ,
449,19530519,    8,     ,
449,19530520,    2,     ,
449,19530521,    0,     ,
449,19530522,    0,     ,
449,19530523,    0,     ,
449,19530524,    0,     ,
449,19530525,    0,     ,
449,19530526,    0,     ,
449,19530527,   45,     ,
449,19530528,   11,     ,
449,19530529,    1,     ,
449,19530530,   34,     ,
449,19530531,   77,     ,
449,19530601,   11,     ,
449,19530602,   83,     ,
449,19530603,  109,     ,
449,19530604,    1,     ,
449,19530605,    0,     ,
449,19530606,    0,     ,
449,19530607,    0,     ,
449,19530608,    0,     ,
449,19530609,    0,     ,
449,19530610,    7,     ,
449,19530611,   15,     ,
449,19530612,    0,     ,
449,19530613,    1,     ,
449,19530614,   22,     ,
449,19530615,   37,     ,
449,19530616,    1,     ,
449,19530617,   37,     ,
449,19530618,    9,     ,
449,19530619,    1,     ,
449,19530620,    3,     ,
449,19530621,    0,     ,
449,19530622,   38,     ,
449,19530623,   51,     ,
449,19530624,    3,     ,
449,19530625,    0,     ,
449,19530626,    0,     ,
449,19530627,    0,     ,
449,19530628,   26,     ,
449,19530629,    0,     ,
449,19530630,    0,     ,
449,19530701,    0,     ,
449,19530702,    0,     ,
449,19530703,   12,     ,
449,19530704,   13,     ,
449,19530705,    0,     ,
449,19530706,    0,     ,
449,19530707,   27,     ,
449,19530708,    3,     ,
449,19530709,  141,     ,
449,19530710,   34,     ,
449,19530711,    0,     ,
449,19530712,    0,     ,
449,19530713,  100,     ,
449,19530714,   41,     ,
449,19530715,   36,     ,
449,19530716,    5,     ,
449,19530717,   16,     ,
449,19530718,    3,     ,
449,19530719,    0,     ,
449,19530720,    2,     ,
449,19530721,   19,     ,
449,19530722,    0,     ,
449,19530723,    7,     ,
449,19530724,    0,     ,
449,19530725,    0,     ,
449,19530726,    0,     ,
449,19530727,    0,     ,
449,19530728,    2,     ,
449,19530729,    0,     ,
449,19530730,   90,     ,
449,19530731,   32,     ,
449,19530801,  155,     ,
449,19530802,    3,     ,
449,19530803,    0,     ,
449,19530804,    0,     ,
449,19530805,    1,     ,
449,19530806,    0,     ,
449,19530807,    0,     ,
449,19530808,    0,     ,
449,19530809,    0,     ,
449,19530810,    0,     ,
449,19530811,    0,     ,
449,19530812,    0,     ,
449,19530813,    0,     ,
449,19530814,    0,     ,
449,19530815,    0,     ,
449,19530816,   47,     ,
449,19530817,    0,     ,
449,19530818,    0,     ,
449,19530819,    1,     ,
449,19530820,    0,     ,
449,19530821,   33,     ,
449,19530822,  321,     ,
449,19530823,   15,     ,
449,19530824,  136,     ,
449,19530825,  271,     ,
449,19530826,   14,     ,
449,19530827,    0,     ,
449,19530828,    0,     ,
449,19530829,   20,     ,
449,19530830,  143,     ,
449,19530831,   72,     ,
449,19530901,    0,     ,
449,19530902,    0,     ,
449,19530903,   13,     ,
449,19530904,    1,     ,
449,19530905,    0,     ,
449,19530906,    0,     ,
449,19530907,    0,     ,
449,19530908,    0,     ,
449,19530909,    0,     ,
449,19530910,   20,     ,
449,19530911,   14,     ,
449,19530912,    5,     ,
449,19530913,    0,     ,
449,19530914,    0,     ,
449,19530915,    0,     ,
449,19530916,    0,     ,
449,19530917,   16,     ,
449,19530918,   41,     ,
449,19530919,    0,     ,
449,19530920,    1,     ,
449,19530921,    8,     ,
449,19530922,  142,     ,
449,19530923,  187,     ,
449,19530924,    2,     ,
449,19530925,    1,     ,
449,19530926,    0,     ,
449,19530927,    1,     ,
449,19530928,    2,     ,
449,19530929,    1,     ,
449,19530930,    1,     ,
449,19531001,    0,     ,
449,19531002,    1,     ,
449,19531003,    1,     ,
449,19531004,    0,     ,
449,19531005,    1,     ,
449,19531006,    0,     ,
449,19531007,   22,     ,
449,19531008,    0,     ,
449,19531009,    0,     ,
449,19531010,    0,     ,
449,19531011,    0,     ,
449,19531012,    0,     ,
449,19531013,    0,     ,
449,19531014,    0,     ,
449,19531015,    0,     ,
449,19531016,    0,     ,
449,19531017,    2,     ,
449,19531018,    0,     ,
449,19531019,    4,     ,
449,19531020,    1,     ,
449,19531021,    2,     ,
449,19531022,    0,     ,
449,19531023,    0,     ,
449,19531024,   41,     ,
449,19531025,    4,     ,
449,19531026,    2,     ,
449,19531027,    1,     ,
449,19531028,    6,     ,
449,19531029,    3,     ,
449,19531030,    1,     ,
449,19531031,    6,     ,
449,19531101,    0,     ,
449,19531102,   37,     ,
449,19531103,   38,     ,
449,19531104,   22,     ,
449,19531105,   10,     ,
449,19531106,   13,     ,
449,19531107,    3,     ,
449,19531108,    5,     ,
449,19531109,    2,     ,
449,19531110,   14,     ,
449,19531111,    1,     ,
449,19531112,    0,     ,
449,19531113,    9,     ,
449,19531114,   38,     ,
449,19531115,    1,     ,
449,19531116,    0,     ,
449,19531117,    0,     ,
449,19531118,    2,     ,
449,19531119,    0,     ,
449,19531120,    0,     ,
449,19531121,    0,     ,
449,19531122,    0,     ,
449,19531123,    0,     ,
449,19531124,    0,     ,
449,19531125,    0,     ,
449,19531126,   12,     ,
449,19531127,    0,     ,
449,19531128,    0,     ,
449,19531129,    2,     ,
449,19531130,    1,     ,
449,19531201,    0,     ,
449,19531202,    0,     ,
449,19531203,    0,     ,
449,19531204,    1,     ,
449,19531205,    0,     ,
449,19531206,    1,     ,
449,19531207,    1,     ,
449,19531208,    0,     ,
449,19531209,    4,     ,
449,19531210,   50,     ,
449,19531211,    1,     ,
449,19531212,    0,     ,
449,19531213,    0,     ,
449,19531214,    0,     ,
449,19531215,    1,     ,
449,19531216,    4,     ,
449,19531217,    1,     ,
449,19531218,    1,     ,
449,19531219,   24,     ,
449,19531220,   85,     ,
449,19531221,    0,     ,
449,19531222,    2,     ,
449,19531223,    5,     ,
449,19531224,    1,     ,
449,19531225,   24,     ,
449,19531226,   70,     ,
449,19531227,  101,     ,
449,19531228,   23,     ,
449,19531229,   85,     ,
449,19531230,   23,     ,
449,19531231,    1,     ,
449,19540101,   12,     ,
449,19540102,   11,     ,
449,19540103,   30,     ,
449,19540104,   24,     ,
449,19540105,    1,     ,
449,19540106,    0,     ,
449,19540107,    6,     ,
449,19540108,    1,     ,
449,19540109,    5,     ,
449,19540110,   73,     ,
449,19540111,    6,     ,
449,19540112,   10,     ,
449,19540113,    6,     ,
449,19540114,  169,     ,
449,19540115,    8,     ,
449,19540116,    0,     ,
449,19540117,    8,     ,
449,19540118,    0,     ,
449,19540119,    0,     ,
449,19540120,   37,     ,
449,19540121,  129,     ,
449,19540122,    0,     ,
449,19540123,    0,     ,
449,19540124,    0,     ,
449,19540125,    0,     ,
449,19540126,    0,     ,
449,19540127,    0,     ,
449,19540128,    0,     ,
449,19540129,    0,     ,
449,19540130,    0,     ,
449,19540131,    0,     ,
449,19540201,    0,     ,
449,19540202,    0,     ,
449,19540203,    0,     ,
449,19540204,    0,     ,
449,19540205,    0,     ,
449,19540206,    0,     ,
449,19540207,    0,     ,
449,19540208,   20,     ,
449,19540209,   75,     ,
449,19540210,    0,     ,
449,19540211,   82,     ,
449,19540212,   21,     ,
449,19540213,    4,     ,
449,19540214,    6,     ,
449,19540215,    1,     ,
449,19540216,    1,     ,
449,19540217,    0,     ,
449,19540218,    2,     ,
449,19540219,  114,     ,
449,19540220,   17,     ,
449,19540221,    3,     ,
449,19540222,    6,     ,
449,19540223,    2,     ,
449,19540224,   34,     ,
449,19540225,    2,     ,
449,19540226,   38,     ,
449,19540227,   44,     ,
449,19540228,   13,     ,
449,19540301,   80,     ,
449,19540302,   82,     ,
449,19540303,    9,     ,
449,19540304,   64,     ,
449,19540305,    3,     ,
449,19540306,    4,     ,
449,19540307,   19,     ,
449,19540308,  128,     ,
449,19540309,   16,     ,
449,19540310,    0,     ,
449,19540311,    2,     ,
449,19540312,    1,     ,
449,19540313,    0,     ,
449,19540314,    0,     ,
449,19540315,    0,     ,
449,19540316,    0,     ,
449,19540317,    0,     ,
449,19540318,    0,     ,
449,19540319,    0,     ,
449,19540320,    5,     ,
449,19540321,    8,     ,
449,19540322,    0,     ,
449,19540323,    0,     ,
449,19540324,    1,     ,
449,19540325,    0,     ,
449,19540326,   58,     ,
449,19540327,    0,     ,
449,19540328,    3,     ,
449,19540329,   27,     ,
449,19540330,    9,     ,
449,19540331,   11,     ,
449,19540401,   28,     ,
449,19540402,    8,     ,
449,19540403,   67,     ,
449,19540404,   35,     ,
449,19540405,    8,     ,
449,19540406,    1,     ,
449,19540407,    1,     ,
449,19540408,    1,     ,
449,19540409,    2,     ,
449,19540410,    0,     ,
449,19540411,    0,     ,
449,19540412,    0,     ,
449,19540413,    1,     ,
449,19540414,    0,     ,
449,19540415,   11,     ,
449,19540416,    2,     ,
